n_train,False positive rate,Power,Outliers,total_samples,dataset,model,method,prompt,seed,base,alternatives
30,1.5625,31.365313653136536,271,1024,ETS,phi,maryland,P1,959183449,1,[2]
50,2.734375,36.90036900369004,271,1024,ETS,phi,maryland,P1,959183449,1,[2]
200,4.1015625,42.80442804428044,271,1024,ETS,phi,maryland,P1,959183449,1,[2]
30,4.78515625,47.19101123595505,267,1024,ETS,phi,maryland,P1,1457248422,1,[2]
50,4.78515625,47.19101123595505,267,1024,ETS,phi,maryland,P1,1457248422,1,[2]
200,4.98046875,49.063670411985015,267,1024,ETS,phi,maryland,P1,1457248422,1,[2]
30,2.734375,37.21804511278196,266,1024,ETS,phi,maryland,P1,642571064,1,[2]
50,10.44921875,59.3984962406015,266,1024,ETS,phi,maryland,P1,642571064,1,[2]
200,3.02734375,39.097744360902254,266,1024,ETS,phi,maryland,P1,642571064,1,[2]
30,9.5703125,52.490421455938694,261,1024,ETS,phi,maryland,P1,3609844797,1,[2]
50,9.86328125,53.25670498084292,261,1024,ETS,phi,maryland,P1,3609844797,1,[2]
200,4.4921875,44.06130268199234,261,1024,ETS,phi,maryland,P1,3609844797,1,[2]
30,0.09765625,16.10486891385768,267,1024,ETS,phi,maryland,P1,1067841243,1,[2]
50,3.02734375,36.70411985018727,267,1024,ETS,phi,maryland,P1,1067841243,1,[2]
200,3.7109375,40.823970037453186,267,1024,ETS,phi,maryland,P1,1067841243,1,[2]
30,0.4158004158004158,20.212765957446805,282,962,ETS,phi,maryland,P2,959183449,1,[2]
50,1.2474012474012475,26.24113475177305,282,962,ETS,phi,maryland,P2,959183449,1,[2]
200,2.7027027027027026,35.46099290780142,282,962,ETS,phi,maryland,P2,959183449,1,[2]
30,5.50935550935551,43.77358490566038,265,962,ETS,phi,maryland,P2,1457248422,1,[2]
50,4.054054054054054,40.0,265,962,ETS,phi,maryland,P2,1457248422,1,[2]
200,5.197505197505198,43.39622641509434,265,962,ETS,phi,maryland,P2,1457248422,1,[2]
30,6.340956340956342,46.45390070921986,282,962,ETS,phi,maryland,P2,642571064,1,[2]
50,6.340956340956342,46.45390070921986,282,962,ETS,phi,maryland,P2,642571064,1,[2]
200,6.652806652806653,47.16312056737589,282,962,ETS,phi,maryland,P2,642571064,1,[2]
30,0.8316008316008316,26.353790613718413,277,962,ETS,phi,maryland,P2,3609844797,1,[2]
50,0.8316008316008316,26.353790613718413,277,962,ETS,phi,maryland,P2,3609844797,1,[2]
200,4.261954261954262,41.87725631768953,277,962,ETS,phi,maryland,P2,3609844797,1,[2]
30,0.4158004158004158,20.069204152249135,289,962,ETS,phi,maryland,P2,1067841243,1,[2]
50,3.8461538461538463,38.75432525951557,289,962,ETS,phi,maryland,P2,1067841243,1,[2]
200,9.355509355509357,51.903114186851205,289,962,ETS,phi,maryland,P2,1067841243,1,[2]
30,1.40485312899106,20.346320346320347,231,783,ETS,phi,maryland,P3,959183449,1,[2]
50,1.7879948914431671,24.675324675324674,231,783,ETS,phi,maryland,P3,959183449,1,[2]
