n_train,False positive rate,Power,Outliers,total_samples,dataset,model,method,prompt,seed,base,alternatives
30,1.953125,32.30088495575221,226,1024,ETS,phi,openai,P1,959183449,1,[2]
50,1.953125,32.30088495575221,226,1024,ETS,phi,openai,P1,959183449,1,[2]
200,5.2734375,44.24778761061947,226,1024,ETS,phi,openai,P1,959183449,1,[2]
30,0.78125,24.782608695652176,230,1024,ETS,phi,openai,P1,1457248422,1,[2]
50,1.953125,31.30434782608696,230,1024,ETS,phi,openai,P1,1457248422,1,[2]
200,6.25,49.130434782608695,230,1024,ETS,phi,openai,P1,1457248422,1,[2]
30,1.3671875,26.666666666666668,225,1024,ETS,phi,openai,P1,642571064,1,[2]
50,2.5390625,33.33333333333333,225,1024,ETS,phi,openai,P1,642571064,1,[2]
200,4.39453125,41.333333333333336,225,1024,ETS,phi,openai,P1,642571064,1,[2]
30,2.1484375,32.743362831858406,226,1024,ETS,phi,openai,P1,3609844797,1,[2]
50,4.19921875,40.26548672566372,226,1024,ETS,phi,openai,P1,3609844797,1,[2]
200,10.7421875,57.52212389380531,226,1024,ETS,phi,openai,P1,3609844797,1,[2]
30,10.44921875,58.14977973568281,227,1024,ETS,phi,openai,P1,1067841243,1,[2]
50,4.00390625,39.20704845814978,227,1024,ETS,phi,openai,P1,1067841243,1,[2]
200,7.6171875,52.42290748898678,227,1024,ETS,phi,openai,P1,1067841243,1,[2]
30,0.8316008316008316,40.43478260869565,230,962,ETS,phi,openai,P2,959183449,1,[2]
50,3.118503118503119,52.60869565217391,230,962,ETS,phi,openai,P2,959183449,1,[2]
200,3.5343035343035343,55.65217391304348,230,962,ETS,phi,openai,P2,959183449,1,[2]
30,1.3513513513513513,44.4954128440367,218,962,ETS,phi,openai,P2,1457248422,1,[2]
50,2.079002079002079,48.1651376146789,218,962,ETS,phi,openai,P2,1457248422,1,[2]
200,5.197505197505198,63.30275229357798,218,962,ETS,phi,openai,P2,1457248422,1,[2]
30,1.2474012474012475,41.58878504672897,214,962,ETS,phi,openai,P2,642571064,1,[2]
50,1.2474012474012475,41.58878504672897,214,962,ETS,phi,openai,P2,642571064,1,[2]
200,2.079002079002079,48.598130841121495,214,962,ETS,phi,openai,P2,642571064,1,[2]
30,2.494802494802495,50.224215246636774,223,962,ETS,phi,openai,P2,3609844797,1,[2]
50,4.261954261954262,57.847533632286996,223,962,ETS,phi,openai,P2,3609844797,1,[2]
200,4.158004158004158,56.502242152466366,223,962,ETS,phi,openai,P2,3609844797,1,[2]
30,1.0395010395010396,40.44444444444444,225,962,ETS,phi,openai,P2,1067841243,1,[2]
50,2.806652806652807,48.888888888888886,225,962,ETS,phi,openai,P2,1067841243,1,[2]
200,4.46985446985447,56.888888888888886,225,962,ETS,phi,openai,P2,1067841243,1,[2]
30,3.8314176245210727,56.96969696969697,165,783,ETS,phi,openai,P3,959183449,1,[2]
50,3.8314176245210727,56.96969696969697,165,783,ETS,phi,openai,P3,959183449,1,[2]
200,3.8314176245210727,56.96969696969697,165,783,ETS,phi,openai,P3,959183449,1,[2]
30,13.409961685823754,73.74301675977654,179,783,ETS,phi,openai,P3,1457248422,1,[2]
50,3.959131545338442,50.27932960893855,179,783,ETS,phi,openai,P3,1457248422,1,[2]
200,3.959131545338442,50.27932960893855,179,783,ETS,phi,openai,P3,1457248422,1,[2]
30,4.725415070242656,54.81927710843374,166,783,ETS,phi,openai,P3,642571064,1,[2]
50,5.491698595146871,57.22891566265061,166,783,ETS,phi,openai,P3,642571064,1,[2]
200,6.896551724137931,58.43373493975904,166,783,ETS,phi,openai,P3,642571064,1,[2]
30,0.8939974457215836,32.94117647058823,170,783,ETS,phi,openai,P3,3609844797,1,[2]
50,1.7879948914431671,37.64705882352941,170,783,ETS,phi,openai,P3,3609844797,1,[2]
200,4.725415070242656,52.94117647058824,170,783,ETS,phi,openai,P3,3609844797,1,[2]
