n_train,False positive rate,Power,Outliers,total_samples,dataset,model,method,prompt,seed,base,alternatives
30,1.7578125,17.959183673469386,245,1024,ETS,qwen,maryland,P1,959183449,1,[2]
50,4.00390625,31.020408163265305,245,1024,ETS,qwen,maryland,P1,959183449,1,[2]
200,7.71484375,40.0,245,1024,ETS,qwen,maryland,P1,959183449,1,[2]
30,2.734375,23.046875,256,1024,ETS,qwen,maryland,P1,1457248422,1,[2]
50,2.734375,23.046875,256,1024,ETS,qwen,maryland,P1,1457248422,1,[2]
200,7.03125,37.890625,256,1024,ETS,qwen,maryland,P1,1457248422,1,[2]
30,4.4921875,33.755274261603375,237,1024,ETS,qwen,maryland,P1,642571064,1,[2]
50,4.4921875,33.755274261603375,237,1024,ETS,qwen,maryland,P1,642571064,1,[2]
200,4.4921875,33.755274261603375,237,1024,ETS,qwen,maryland,P1,642571064,1,[2]
30,10.3515625,45.3125,256,1024,ETS,qwen,maryland,P1,3609844797,1,[2]
50,11.9140625,49.609375,256,1024,ETS,qwen,maryland,P1,3609844797,1,[2]
200,7.2265625,39.84375,256,1024,ETS,qwen,maryland,P1,3609844797,1,[2]
30,1.85546875,22.779922779922778,259,1024,ETS,qwen,maryland,P1,1067841243,1,[2]
50,2.44140625,25.868725868725868,259,1024,ETS,qwen,maryland,P1,1067841243,1,[2]
200,2.44140625,25.868725868725868,259,1024,ETS,qwen,maryland,P1,1067841243,1,[2]
30,4.054054054054054,32.48945147679325,237,962,ETS,qwen,maryland,P2,959183449,1,[2]
50,1.5592515592515594,19.831223628691983,237,962,ETS,qwen,maryland,P2,959183449,1,[2]
200,4.781704781704782,36.708860759493675,237,962,ETS,qwen,maryland,P2,959183449,1,[2]
30,2.2869022869022873,26.94063926940639,219,962,ETS,qwen,maryland,P2,1457248422,1,[2]
50,2.2869022869022873,26.94063926940639,219,962,ETS,qwen,maryland,P2,1457248422,1,[2]
200,2.494802494802495,31.05022831050228,219,962,ETS,qwen,maryland,P2,1457248422,1,[2]
30,0.2079002079002079,4.464285714285714,224,962,ETS,qwen,maryland,P2,642571064,1,[2]
50,2.494802494802495,27.232142857142854,224,962,ETS,qwen,maryland,P2,642571064,1,[2]
200,4.677754677754678,37.5,224,962,ETS,qwen,maryland,P2,642571064,1,[2]
30,1.2474012474012475,14.782608695652174,230,962,ETS,qwen,maryland,P2,3609844797,1,[2]
50,2.2869022869022873,25.217391304347824,230,962,ETS,qwen,maryland,P2,3609844797,1,[2]
200,5.093555093555094,36.95652173913043,230,962,ETS,qwen,maryland,P2,3609844797,1,[2]
30,2.390852390852391,24.413145539906104,213,962,ETS,qwen,maryland,P2,1067841243,1,[2]
50,3.8461538461538463,31.92488262910798,213,962,ETS,qwen,maryland,P2,1067841243,1,[2]
200,4.261954261954262,34.74178403755869,213,962,ETS,qwen,maryland,P2,1067841243,1,[2]
30,2.1711366538952745,22.5130890052356,191,783,ETS,qwen,maryland,P3,959183449,1,[2]
50,2.1711366538952745,22.5130890052356,191,783,ETS,qwen,maryland,P3,959183449,1,[2]
200,6.257982120051085,39.26701570680628,191,783,ETS,qwen,maryland,P3,959183449,1,[2]
30,0.5108556832694764,9.803921568627452,204,783,ETS,qwen,maryland,P3,1457248422,1,[2]
50,3.4482758620689653,28.431372549019606,204,783,ETS,qwen,maryland,P3,1457248422,1,[2]
200,5.491698595146871,33.33333333333333,204,783,ETS,qwen,maryland,P3,1457248422,1,[2]
30,0.1277139208173691,10.43956043956044,182,783,ETS,qwen,maryland,P3,642571064,1,[2]
50,1.7879948914431671,23.076923076923077,182,783,ETS,qwen,maryland,P3,642571064,1,[2]
200,5.108556832694764,36.81318681318682,182,783,ETS,qwen,maryland,P3,642571064,1,[2]
30,0.38314176245210724,11.616161616161616,198,783,ETS,qwen,maryland,P3,3609844797,1,[2]
50,4.597701149425287,32.82828282828283,198,783,ETS,qwen,maryland,P3,3609844797,1,[2]
200,4.342273307790549,32.82828282828283,198,783,ETS,qwen,maryland,P3,3609844797,1,[2]
30,5.108556832694764,31.666666666666664,180,783,ETS,qwen,maryland,P3,1067841243,1,[2]
50,5.108556832694764,31.666666666666664,180,783,ETS,qwen,maryland,P3,1067841243,1,[2]
200,6.002554278416347,36.666666666666664,180,783,ETS,qwen,maryland,P3,1067841243,1,[2]
30,2.029312288613303,14.655172413793101,232,887,ETS,qwen,maryland,P4,959183449,1,[2]
50,5.862457722660654,36.637931034482754,232,887,ETS,qwen,maryland,P4,959183449,1,[2]
200,5.0732807215332585,33.62068965517241,232,887,ETS,qwen,maryland,P4,959183449,1,[2]
30,0.0,1.762114537444934,227,887,ETS,qwen,maryland,P4,1457248422,1,[2]
50,2.593010146561443,16.740088105726873,227,887,ETS,qwen,maryland,P4,1457248422,1,[2]
200,4.735062006764374,30.396475770925107,227,887,ETS,qwen,maryland,P4,1457248422,1,[2]
30,7.1025930101465615,40.46511627906977,215,887,ETS,qwen,maryland,P4,642571064,1,[2]
50,7.1025930101465615,40.46511627906977,215,887,ETS,qwen,maryland,P4,642571064,1,[2]
200,3.8331454340473505,30.697674418604652,215,887,ETS,qwen,maryland,P4,642571064,1,[2]
