n_train,False positive rate,Power,Outliers,total_samples,dataset,model,method,prompt,seed,base,alternatives
30,1.85546875,27.34375,256,1024,ETS,qwen,openai,P1,959183449,1,[2]
50,2.05078125,28.515625,256,1024,ETS,qwen,openai,P1,959183449,1,[2]
200,6.640625,53.515625,256,1024,ETS,qwen,openai,P1,959183449,1,[2]
30,12.20703125,65.09803921568627,255,1024,ETS,qwen,openai,P1,1457248422,1,[2]
50,6.0546875,50.19607843137255,255,1024,ETS,qwen,openai,P1,1457248422,1,[2]
200,6.15234375,51.37254901960784,255,1024,ETS,qwen,openai,P1,1457248422,1,[2]
30,4.00390625,42.69230769230769,260,1024,ETS,qwen,openai,P1,642571064,1,[2]
50,8.0078125,56.92307692307692,260,1024,ETS,qwen,openai,P1,642571064,1,[2]
200,4.00390625,42.69230769230769,260,1024,ETS,qwen,openai,P1,642571064,1,[2]
30,0.09765625,11.71875,256,1024,ETS,qwen,openai,P1,3609844797,1,[2]
50,0.68359375,21.875,256,1024,ETS,qwen,openai,P1,3609844797,1,[2]
200,6.640625,53.515625,256,1024,ETS,qwen,openai,P1,3609844797,1,[2]
30,0.0,2.7777777777777777,252,1024,ETS,qwen,openai,P1,1067841243,1,[2]
50,1.7578125,28.57142857142857,252,1024,ETS,qwen,openai,P1,1067841243,1,[2]
200,1.953125,32.142857142857146,252,1024,ETS,qwen,openai,P1,1067841243,1,[2]
30,7.588357588357589,49.73821989528796,191,962,ETS,qwen,openai,P2,959183449,1,[2]
50,0.8316008316008316,28.272251308900525,191,962,ETS,qwen,openai,P2,959183449,1,[2]
200,5.50935550935551,43.97905759162304,191,962,ETS,qwen,openai,P2,959183449,1,[2]
30,4.781704781704782,38.659793814432994,194,962,ETS,qwen,openai,P2,1457248422,1,[2]
50,4.781704781704782,38.659793814432994,194,962,ETS,qwen,openai,P2,1457248422,1,[2]
200,5.50935550935551,44.329896907216494,194,962,ETS,qwen,openai,P2,1457248422,1,[2]
30,1.2474012474012475,28.021978021978022,182,962,ETS,qwen,openai,P2,642571064,1,[2]
50,1.2474012474012475,28.57142857142857,182,962,ETS,qwen,openai,P2,642571064,1,[2]
200,3.6382536382536386,38.46153846153847,182,962,ETS,qwen,openai,P2,642571064,1,[2]
30,1.4553014553014554,29.268292682926827,205,962,ETS,qwen,openai,P2,3609844797,1,[2]
50,1.7671517671517671,32.6829268292683,205,962,ETS,qwen,openai,P2,3609844797,1,[2]
200,3.8461538461538463,38.048780487804876,205,962,ETS,qwen,openai,P2,3609844797,1,[2]
30,2.7027027027027026,34.46601941747573,206,962,ETS,qwen,openai,P2,1067841243,1,[2]
50,2.7027027027027026,34.46601941747573,206,962,ETS,qwen,openai,P2,1067841243,1,[2]
200,4.158004158004158,38.83495145631068,206,962,ETS,qwen,openai,P2,1067841243,1,[2]
30,0.0,13.170731707317074,205,783,ETS,qwen,openai,P3,959183449,1,[2]
50,5.491698595146871,42.926829268292686,205,783,ETS,qwen,openai,P3,959183449,1,[2]
200,5.491698595146871,42.926829268292686,205,783,ETS,qwen,openai,P3,959183449,1,[2]
30,0.2554278416347382,11.415525114155251,219,783,ETS,qwen,openai,P3,1457248422,1,[2]
50,1.532567049808429,24.200913242009133,219,783,ETS,qwen,openai,P3,1457248422,1,[2]
200,3.4482758620689653,33.789954337899545,219,783,ETS,qwen,openai,P3,1457248422,1,[2]
30,4.21455938697318,36.666666666666664,210,783,ETS,qwen,openai,P3,642571064,1,[2]
50,4.21455938697318,36.666666666666664,210,783,ETS,qwen,openai,P3,642571064,1,[2]
200,7.2796934865900385,50.476190476190474,210,783,ETS,qwen,openai,P3,642571064,1,[2]
30,0.8939974457215836,19.900497512437813,201,783,ETS,qwen,openai,P3,3609844797,1,[2]
50,1.6602809706257982,25.870646766169152,201,783,ETS,qwen,openai,P3,3609844797,1,[2]
200,6.896551724137931,46.766169154228855,201,783,ETS,qwen,openai,P3,3609844797,1,[2]
30,4.725415070242656,39.90147783251231,203,783,ETS,qwen,openai,P3,1067841243,1,[2]
50,4.725415070242656,39.90147783251231,203,783,ETS,qwen,openai,P3,1067841243,1,[2]
200,6.002554278416347,45.812807881773395,203,783,ETS,qwen,openai,P3,1067841243,1,[2]
30,1.3528748590755355,27.748691099476442,191,887,ETS,qwen,openai,P4,959183449,1,[2]
50,4.058624577226606,41.361256544502616,191,887,ETS,qwen,openai,P4,959183449,1,[2]
200,4.058624577226606,41.361256544502616,191,887,ETS,qwen,openai,P4,959183449,1,[2]
30,5.411499436302142,45.45454545454545,198,887,ETS,qwen,openai,P4,1457248422,1,[2]
