n_train,category,False positive rate,Power,dataset,model,method,prompt,seed,base,alternatives
5,In Distribution Only,0.0,0.0,ETS,phi,maryland,P1,959183449,1,[2]
5,Combined Unweighted,8.49609375,49.815498154981555,ETS,phi,maryland,P1,959183449,1,[2]
5,Combined Weighted (quantile),8.49609375,49.815498154981555,ETS,phi,maryland,P1,959183449,1,[2]
5,Combined Weighted (mean),8.49609375,49.815498154981555,ETS,phi,maryland,P1,959183449,1,[2]
15,In Distribution Only,0.0,0.0,ETS,phi,maryland,P1,959183449,1,[2]
15,Combined Unweighted,8.49609375,49.815498154981555,ETS,phi,maryland,P1,959183449,1,[2]
15,Combined Weighted (quantile),8.49609375,49.815498154981555,ETS,phi,maryland,P1,959183449,1,[2]
15,Combined Weighted (mean),6.640625,47.23247232472325,ETS,phi,maryland,P1,959183449,1,[2]
30,In Distribution Only,0.0,11.808118081180812,ETS,phi,maryland,P1,959183449,1,[2]
30,Combined Unweighted,7.51953125,49.815498154981555,ETS,phi,maryland,P1,959183449,1,[2]
30,Combined Weighted (quantile),2.24609375,34.686346863468636,ETS,phi,maryland,P1,959183449,1,[2]
30,Combined Weighted (mean),2.24609375,34.686346863468636,ETS,phi,maryland,P1,959183449,1,[2]
5,In Distribution Only,0.0,0.0,ETS,phi,maryland,P2,959183449,1,[2]
5,Combined Unweighted,9.251559251559252,53.191489361702125,ETS,phi,maryland,P2,959183449,1,[2]
5,Combined Weighted (quantile),3.3264033264033266,37.5886524822695,ETS,phi,maryland,P2,959183449,1,[2]
5,Combined Weighted (mean),4.885654885654886,41.48936170212766,ETS,phi,maryland,P2,959183449,1,[2]
15,In Distribution Only,0.0,0.0,ETS,phi,maryland,P2,959183449,1,[2]
15,Combined Unweighted,9.251559251559252,53.191489361702125,ETS,phi,maryland,P2,959183449,1,[2]
15,Combined Weighted (quantile),9.251559251559252,53.191489361702125,ETS,phi,maryland,P2,959183449,1,[2]
15,Combined Weighted (mean),10.706860706860708,55.319148936170215,ETS,phi,maryland,P2,959183449,1,[2]
30,In Distribution Only,3.6382536382536386,39.361702127659576,ETS,phi,maryland,P2,959183449,1,[2]
30,Combined Unweighted,9.251559251559252,53.191489361702125,ETS,phi,maryland,P2,959183449,1,[2]
30,Combined Weighted (quantile),9.251559251559252,53.191489361702125,ETS,phi,maryland,P2,959183449,1,[2]
30,Combined Weighted (mean),9.147609147609147,52.83687943262411,ETS,phi,maryland,P2,959183449,1,[2]
5,In Distribution Only,0.0,0.0,ETS,phi,maryland,P3,959183449,1,[2]
5,Combined Unweighted,7.790549169859514,51.08225108225109,ETS,phi,maryland,P3,959183449,1,[2]
5,Combined Weighted (quantile),1.1494252873563218,17.74891774891775,ETS,phi,maryland,P3,959183449,1,[2]
5,Combined Weighted (mean),3.4482758620689653,30.303030303030305,ETS,phi,maryland,P3,959183449,1,[2]
15,In Distribution Only,0.0,0.0,ETS,phi,maryland,P3,959183449,1,[2]
15,Combined Unweighted,7.790549169859514,51.08225108225109,ETS,phi,maryland,P3,959183449,1,[2]
15,Combined Weighted (quantile),4.21455938697318,37.66233766233766,ETS,phi,maryland,P3,959183449,1,[2]
15,Combined Weighted (mean),4.21455938697318,37.66233766233766,ETS,phi,maryland,P3,959183449,1,[2]
30,In Distribution Only,3.1928480204342273,29.43722943722944,ETS,phi,maryland,P3,959183449,1,[2]
30,Combined Unweighted,7.790549169859514,51.08225108225109,ETS,phi,maryland,P3,959183449,1,[2]
30,Combined Weighted (quantile),4.597701149425287,40.25974025974026,ETS,phi,maryland,P3,959183449,1,[2]
30,Combined Weighted (mean),4.597701149425287,40.25974025974026,ETS,phi,maryland,P3,959183449,1,[2]
5,In Distribution Only,0.0,0.0,ETS,phi,maryland,P4,959183449,1,[2]
5,Combined Unweighted,7.328072153325817,51.171875,ETS,phi,maryland,P4,959183449,1,[2]
5,Combined Weighted (quantile),6.989853438556934,50.78125,ETS,phi,maryland,P4,959183449,1,[2]
5,Combined Weighted (mean),7.328072153325817,51.171875,ETS,phi,maryland,P4,959183449,1,[2]
15,In Distribution Only,0.0,0.0,ETS,phi,maryland,P4,959183449,1,[2]
15,Combined Unweighted,7.328072153325817,51.171875,ETS,phi,maryland,P4,959183449,1,[2]
15,Combined Weighted (quantile),7.328072153325817,51.171875,ETS,phi,maryland,P4,959183449,1,[2]
15,Combined Weighted (mean),6.200676437429538,48.828125,ETS,phi,maryland,P4,959183449,1,[2]
30,In Distribution Only,3.1567080045095826,33.59375,ETS,phi,maryland,P4,959183449,1,[2]
30,Combined Unweighted,7.1025930101465615,50.78125,ETS,phi,maryland,P4,959183449,1,[2]
30,Combined Weighted (quantile),5.862457722660654,48.046875,ETS,phi,maryland,P4,959183449,1,[2]
30,Combined Weighted (mean),5.862457722660654,48.046875,ETS,phi,maryland,P4,959183449,1,[2]
5,In Distribution Only,0.0,0.0,ETS,phi,maryland,P5,959183449,1,[2]
5,Combined Unweighted,7.32196589769308,53.18471337579618,ETS,phi,maryland,P5,959183449,1,[2]
5,Combined Weighted (quantile),0.5015045135406219,18.152866242038215,ETS,phi,maryland,P5,959183449,1,[2]
5,Combined Weighted (mean),4.613841524573721,45.22292993630573,ETS,phi,maryland,P5,959183449,1,[2]
15,In Distribution Only,0.0,0.0,ETS,phi,maryland,P5,959183449,1,[2]
15,Combined Unweighted,7.422266800401204,53.82165605095541,ETS,phi,maryland,P5,959183449,1,[2]
15,Combined Weighted (quantile),3.911735205616851,40.76433121019109,ETS,phi,maryland,P5,959183449,1,[2]
15,Combined Weighted (mean),3.8114343029087263,40.445859872611464,ETS,phi,maryland,P5,959183449,1,[2]
30,In Distribution Only,2.0060180541624875,29.29936305732484,ETS,phi,maryland,P5,959183449,1,[2]
30,Combined Unweighted,7.32196589769308,53.18471337579618,ETS,phi,maryland,P5,959183449,1,[2]
30,Combined Weighted (quantile),7.12136409227683,53.18471337579618,ETS,phi,maryland,P5,959183449,1,[2]
30,Combined Weighted (mean),5.817452357071214,48.089171974522294,ETS,phi,maryland,P5,959183449,1,[2]
5,In Distribution Only,0.0,0.0,ETS,phi,maryland,P6,959183449,1,[2]
5,Combined Unweighted,11.178861788617883,62.857142857142854,ETS,phi,maryland,P6,959183449,1,[2]
5,Combined Weighted (quantile),3.2520325203252036,43.57142857142857,ETS,phi,maryland,P6,959183449,1,[2]
5,Combined Weighted (mean),7.723577235772358,59.285714285714285,ETS,phi,maryland,P6,959183449,1,[2]
15,In Distribution Only,0.0,0.0,ETS,phi,maryland,P6,959183449,1,[2]
15,Combined Unweighted,11.178861788617883,62.142857142857146,ETS,phi,maryland,P6,959183449,1,[2]
15,Combined Weighted (quantile),3.4552845528455287,43.57142857142857,ETS,phi,maryland,P6,959183449,1,[2]
15,Combined Weighted (mean),3.658536585365854,43.57142857142857,ETS,phi,maryland,P6,959183449,1,[2]
30,In Distribution Only,5.08130081300813,51.42857142857142,ETS,phi,maryland,P6,959183449,1,[2]
30,Combined Unweighted,11.178861788617883,62.142857142857146,ETS,phi,maryland,P6,959183449,1,[2]
30,Combined Weighted (quantile),5.894308943089431,52.85714285714286,ETS,phi,maryland,P6,959183449,1,[2]
30,Combined Weighted (mean),4.878048780487805,50.0,ETS,phi,maryland,P6,959183449,1,[2]
5,In Distribution Only,0.0,0.0,ETS,phi,maryland,P7,959183449,1,[2]
5,Combined Unweighted,10.780669144981411,64.85507246376811,ETS,phi,maryland,P7,959183449,1,[2]
5,Combined Weighted (quantile),5.947955390334572,51.81159420289855,ETS,phi,maryland,P7,959183449,1,[2]
5,Combined Weighted (mean),10.408921933085502,63.40579710144928,ETS,phi,maryland,P7,959183449,1,[2]
15,In Distribution Only,0.0,0.0,ETS,phi,maryland,P7,959183449,1,[2]
15,Combined Unweighted,10.780669144981411,64.85507246376811,ETS,phi,maryland,P7,959183449,1,[2]
15,Combined Weighted (quantile),9.944237918215611,63.40579710144928,ETS,phi,maryland,P7,959183449,1,[2]
15,Combined Weighted (mean),7.063197026022305,56.52173913043478,ETS,phi,maryland,P7,959183449,1,[2]
30,In Distribution Only,4.275092936802974,45.65217391304348,ETS,phi,maryland,P7,959183449,1,[2]
30,Combined Unweighted,10.408921933085502,63.40579710144928,ETS,phi,maryland,P7,959183449,1,[2]
30,Combined Weighted (quantile),7.063197026022305,56.52173913043478,ETS,phi,maryland,P7,959183449,1,[2]
30,Combined Weighted (mean),7.063197026022305,56.52173913043478,ETS,phi,maryland,P7,959183449,1,[2]
5,In Distribution Only,0.0,0.0,ETS,phi,maryland,P8,959183449,1,[2]
5,Combined Unweighted,8.184383819379114,53.54330708661418,ETS,phi,maryland,P8,959183449,1,[2]
5,Combined Weighted (quantile),7.149576669802446,52.75590551181102,ETS,phi,maryland,P8,959183449,1,[2]
5,Combined Weighted (mean),8.184383819379114,53.54330708661418,ETS,phi,maryland,P8,959183449,1,[2]
15,In Distribution Only,0.0,0.0,ETS,phi,maryland,P8,959183449,1,[2]
15,Combined Unweighted,8.184383819379114,53.54330708661418,ETS,phi,maryland,P8,959183449,1,[2]
15,Combined Weighted (quantile),6.020696142991533,48.818897637795274,ETS,phi,maryland,P8,959183449,1,[2]
15,Combined Weighted (mean),6.020696142991533,48.818897637795274,ETS,phi,maryland,P8,959183449,1,[2]
30,In Distribution Only,2.916274694261524,40.55118110236221,ETS,phi,maryland,P8,959183449,1,[2]
30,Combined Unweighted,7.714016933207903,53.14960629921261,ETS,phi,maryland,P8,959183449,1,[2]
30,Combined Weighted (quantile),6.585136406396989,51.181102362204726,ETS,phi,maryland,P8,959183449,1,[2]
30,Combined Weighted (mean),6.585136406396989,51.181102362204726,ETS,phi,maryland,P8,959183449,1,[2]
5,In Distribution Only,0.0,0.0,ETS,phi,maryland,P1,1457248422,1,[2]
5,Combined Unweighted,8.0078125,52.80898876404494,ETS,phi,maryland,P1,1457248422,1,[2]
5,Combined Weighted (quantile),0.68359375,22.846441947565545,ETS,phi,maryland,P1,1457248422,1,[2]
5,Combined Weighted (mean),3.80859375,44.19475655430712,ETS,phi,maryland,P1,1457248422,1,[2]
15,In Distribution Only,0.0,0.0,ETS,phi,maryland,P1,1457248422,1,[2]
15,Combined Unweighted,8.203125,52.80898876404494,ETS,phi,maryland,P1,1457248422,1,[2]
15,Combined Weighted (quantile),4.98046875,49.063670411985015,ETS,phi,maryland,P1,1457248422,1,[2]
15,Combined Weighted (mean),8.203125,52.80898876404494,ETS,phi,maryland,P1,1457248422,1,[2]
30,In Distribution Only,1.953125,37.82771535580524,ETS,phi,maryland,P1,1457248422,1,[2]
30,Combined Unweighted,8.0078125,52.80898876404494,ETS,phi,maryland,P1,1457248422,1,[2]
30,Combined Weighted (quantile),4.58984375,45.69288389513109,ETS,phi,maryland,P1,1457248422,1,[2]
30,Combined Weighted (mean),6.640625,50.187265917603,ETS,phi,maryland,P1,1457248422,1,[2]
5,In Distribution Only,0.0,0.0,ETS,phi,maryland,P2,1457248422,1,[2]
5,Combined Unweighted,9.251559251559252,55.094339622641506,ETS,phi,maryland,P2,1457248422,1,[2]
5,Combined Weighted (quantile),5.925155925155925,46.79245283018868,ETS,phi,maryland,P2,1457248422,1,[2]
5,Combined Weighted (mean),9.251559251559252,55.094339622641506,ETS,phi,maryland,P2,1457248422,1,[2]
15,In Distribution Only,0.0,0.0,ETS,phi,maryland,P2,1457248422,1,[2]
