n_train,category,False positive rate,Power,dataset,model,method,prompt,seed,base,alternatives
5,In Distribution Only,0.0,0.0,ETS,phi,openai,P1,959183449,1,[2]
5,Combined Unweighted,13.28125,62.38938053097345,ETS,phi,openai,P1,959183449,1,[2]
5,Combined Weighted (quantile),1.953125,32.30088495575221,ETS,phi,openai,P1,959183449,1,[2]
5,Combined Weighted (mean),10.83984375,57.9646017699115,ETS,phi,openai,P1,959183449,1,[2]
15,In Distribution Only,0.0,0.0,ETS,phi,openai,P1,959183449,1,[2]
15,Combined Unweighted,13.28125,62.38938053097345,ETS,phi,openai,P1,959183449,1,[2]
15,Combined Weighted (quantile),4.1015625,39.823008849557525,ETS,phi,openai,P1,959183449,1,[2]
15,Combined Weighted (mean),4.98046875,43.36283185840708,ETS,phi,openai,P1,959183449,1,[2]
30,In Distribution Only,1.953125,32.30088495575221,ETS,phi,openai,P1,959183449,1,[2]
30,Combined Unweighted,13.28125,62.38938053097345,ETS,phi,openai,P1,959183449,1,[2]
30,Combined Weighted (quantile),5.46875,45.13274336283185,ETS,phi,openai,P1,959183449,1,[2]
30,Combined Weighted (mean),7.2265625,50.44247787610619,ETS,phi,openai,P1,959183449,1,[2]
5,In Distribution Only,0.0,0.0,ETS,phi,openai,P2,959183449,1,[2]
5,Combined Unweighted,14.137214137214135,77.39130434782608,ETS,phi,openai,P2,959183449,1,[2]
5,Combined Weighted (quantile),5.093555093555094,62.17391304347826,ETS,phi,openai,P2,959183449,1,[2]
5,Combined Weighted (mean),12.058212058212058,73.04347826086956,ETS,phi,openai,P2,959183449,1,[2]
15,In Distribution Only,0.0,0.0,ETS,phi,openai,P2,959183449,1,[2]
15,Combined Unweighted,14.137214137214135,77.39130434782608,ETS,phi,openai,P2,959183449,1,[2]
15,Combined Weighted (quantile),13.201663201663202,75.21739130434783,ETS,phi,openai,P2,959183449,1,[2]
15,Combined Weighted (mean),13.92931392931393,76.08695652173914,ETS,phi,openai,P2,959183449,1,[2]
30,In Distribution Only,4.677754677754678,61.73913043478261,ETS,phi,openai,P2,959183449,1,[2]
30,Combined Unweighted,13.92931392931393,76.08695652173914,ETS,phi,openai,P2,959183449,1,[2]
30,Combined Weighted (quantile),11.954261954261955,73.04347826086956,ETS,phi,openai,P2,959183449,1,[2]
30,Combined Weighted (mean),11.954261954261955,72.60869565217392,ETS,phi,openai,P2,959183449,1,[2]
5,In Distribution Only,0.0,0.0,ETS,phi,openai,P3,959183449,1,[2]
5,Combined Unweighted,15.070242656449553,78.18181818181819,ETS,phi,openai,P3,959183449,1,[2]
5,Combined Weighted (quantile),1.6602809706257982,39.39393939393939,ETS,phi,openai,P3,959183449,1,[2]
5,Combined Weighted (mean),4.21455938697318,59.3939393939394,ETS,phi,openai,P3,959183449,1,[2]
15,In Distribution Only,0.0,0.0,ETS,phi,openai,P3,959183449,1,[2]
15,Combined Unweighted,15.453384418901662,78.18181818181819,ETS,phi,openai,P3,959183449,1,[2]
