n_train,category,False positive rate,Power,dataset,model,method,prompt,seed,base,alternatives
5,In Distribution Only,0.0,0.0,ETS,qwen,maryland,P1,959183449,1,[2]
5,Combined Unweighted,9.08203125,45.30612244897959,ETS,qwen,maryland,P1,959183449,1,[2]
5,Combined Weighted (quantile),9.08203125,45.30612244897959,ETS,qwen,maryland,P1,959183449,1,[2]
5,Combined Weighted (mean),9.08203125,45.30612244897959,ETS,qwen,maryland,P1,959183449,1,[2]
15,In Distribution Only,0.0,0.0,ETS,qwen,maryland,P1,959183449,1,[2]
15,Combined Unweighted,9.08203125,45.30612244897959,ETS,qwen,maryland,P1,959183449,1,[2]
15,Combined Weighted (quantile),9.08203125,45.30612244897959,ETS,qwen,maryland,P1,959183449,1,[2]
15,Combined Weighted (mean),9.08203125,45.30612244897959,ETS,qwen,maryland,P1,959183449,1,[2]
30,In Distribution Only,9.08203125,45.30612244897959,ETS,qwen,maryland,P1,959183449,1,[2]
30,Combined Unweighted,9.08203125,45.30612244897959,ETS,qwen,maryland,P1,959183449,1,[2]
30,Combined Weighted (quantile),9.08203125,45.30612244897959,ETS,qwen,maryland,P1,959183449,1,[2]
30,Combined Weighted (mean),9.08203125,45.30612244897959,ETS,qwen,maryland,P1,959183449,1,[2]
5,In Distribution Only,0.0,0.0,ETS,qwen,maryland,P2,959183449,1,[2]
5,Combined Unweighted,8.316008316008316,45.9915611814346,ETS,qwen,maryland,P2,959183449,1,[2]
5,Combined Weighted (quantile),8.316008316008316,45.9915611814346,ETS,qwen,maryland,P2,959183449,1,[2]
5,Combined Weighted (mean),8.316008316008316,45.9915611814346,ETS,qwen,maryland,P2,959183449,1,[2]
15,In Distribution Only,0.0,0.0,ETS,qwen,maryland,P2,959183449,1,[2]
15,Combined Unweighted,8.212058212058212,45.14767932489451,ETS,qwen,maryland,P2,959183449,1,[2]
15,Combined Weighted (quantile),5.717255717255718,39.66244725738397,ETS,qwen,maryland,P2,959183449,1,[2]
