n_train,category,False positive rate,Power,dataset,model,method,prompt,seed,base,alternatives
5,In Distribution Only,0.0,0.0,ETS,qwen,openai,P1,959183449,1,[2]
5,Combined Unweighted,9.765625,61.71875,ETS,qwen,openai,P1,959183449,1,[2]
5,Combined Weighted (quantile),5.859375,50.0,ETS,qwen,openai,P1,959183449,1,[2]
5,Combined Weighted (mean),9.765625,61.71875,ETS,qwen,openai,P1,959183449,1,[2]
15,In Distribution Only,0.0,0.0,ETS,qwen,openai,P1,959183449,1,[2]
15,Combined Unweighted,9.765625,61.71875,ETS,qwen,openai,P1,959183449,1,[2]
15,Combined Weighted (quantile),9.765625,61.71875,ETS,qwen,openai,P1,959183449,1,[2]
15,Combined Weighted (mean),7.91015625,57.421875,ETS,qwen,openai,P1,959183449,1,[2]
30,In Distribution Only,5.859375,50.0,ETS,qwen,openai,P1,959183449,1,[2]
30,Combined Unweighted,9.765625,61.71875,ETS,qwen,openai,P1,959183449,1,[2]
30,Combined Weighted (quantile),9.765625,61.71875,ETS,qwen,openai,P1,959183449,1,[2]
30,Combined Weighted (mean),10.15625,62.5,ETS,qwen,openai,P1,959183449,1,[2]
5,In Distribution Only,0.0,0.0,ETS,qwen,openai,P2,959183449,1,[2]
5,Combined Unweighted,11.746361746361748,60.20942408376963,ETS,qwen,openai,P2,959183449,1,[2]
5,Combined Weighted (quantile),2.9106029106029108,32.460732984293195,ETS,qwen,openai,P2,959183449,1,[2]
5,Combined Weighted (mean),6.652806652806653,47.64397905759162,ETS,qwen,openai,P2,959183449,1,[2]
15,In Distribution Only,0.0,0.0,ETS,qwen,openai,P2,959183449,1,[2]
15,Combined Unweighted,11.746361746361748,60.20942408376963,ETS,qwen,openai,P2,959183449,1,[2]
15,Combined Weighted (quantile),5.301455301455301,43.97905759162304,ETS,qwen,openai,P2,959183449,1,[2]
15,Combined Weighted (mean),6.237006237006238,47.12041884816754,ETS,qwen,openai,P2,959183449,1,[2]
30,In Distribution Only,0.5197505197505198,17.801047120418847,ETS,qwen,openai,P2,959183449,1,[2]
30,Combined Unweighted,10.395010395010395,57.59162303664922,ETS,qwen,openai,P2,959183449,1,[2]
30,Combined Weighted (quantile),2.9106029106029108,34.55497382198953,ETS,qwen,openai,P2,959183449,1,[2]
30,Combined Weighted (mean),2.9106029106029108,34.55497382198953,ETS,qwen,openai,P2,959183449,1,[2]
5,In Distribution Only,0.0,0.0,ETS,qwen,openai,P3,959183449,1,[2]
5,Combined Unweighted,10.855683269476373,60.0,ETS,qwen,openai,P3,959183449,1,[2]
5,Combined Weighted (quantile),10.855683269476373,60.0,ETS,qwen,openai,P3,959183449,1,[2]
5,Combined Weighted (mean),10.855683269476373,60.0,ETS,qwen,openai,P3,959183449,1,[2]
15,In Distribution Only,0.0,0.0,ETS,qwen,openai,P3,959183449,1,[2]
15,Combined Unweighted,11.11111111111111,60.0,ETS,qwen,openai,P3,959183449,1,[2]
15,Combined Weighted (quantile),11.11111111111111,60.0,ETS,qwen,openai,P3,959183449,1,[2]
15,Combined Weighted (mean),18.901660280970624,72.1951219512195,ETS,qwen,openai,P3,959183449,1,[2]
30,In Distribution Only,7.151979565772669,48.292682926829265,ETS,qwen,openai,P3,959183449,1,[2]
30,Combined Unweighted,10.855683269476373,60.0,ETS,qwen,openai,P3,959183449,1,[2]
30,Combined Weighted (quantile),8.684546615581098,56.09756097560976,ETS,qwen,openai,P3,959183449,1,[2]
30,Combined Weighted (mean),8.684546615581098,56.09756097560976,ETS,qwen,openai,P3,959183449,1,[2]
5,In Distribution Only,0.0,0.0,ETS,qwen,openai,P4,959183449,1,[2]
5,Combined Unweighted,9.582863585118377,58.1151832460733,ETS,qwen,openai,P4,959183449,1,[2]
5,Combined Weighted (quantile),0.6764374295377678,17.801047120418847,ETS,qwen,openai,P4,959183449,1,[2]
5,Combined Weighted (mean),4.058624577226606,41.361256544502616,ETS,qwen,openai,P4,959183449,1,[2]
15,In Distribution Only,0.0,0.0,ETS,qwen,openai,P4,959183449,1,[2]
15,Combined Unweighted,9.582863585118377,58.1151832460733,ETS,qwen,openai,P4,959183449,1,[2]
15,Combined Weighted (quantile),4.058624577226606,41.361256544502616,ETS,qwen,openai,P4,959183449,1,[2]
15,Combined Weighted (mean),4.058624577226606,40.83769633507853,ETS,qwen,openai,P4,959183449,1,[2]
30,In Distribution Only,1.3528748590755355,27.74869109947644,ETS,qwen,openai,P4,959183449,1,[2]
30,Combined Unweighted,8.229988726042842,55.49738219895288,ETS,qwen,openai,P4,959183449,1,[2]
30,Combined Weighted (quantile),3.494926719278467,39.79057591623037,ETS,qwen,openai,P4,959183449,1,[2]
30,Combined Weighted (mean),3.3821871476888385,39.26701570680628,ETS,qwen,openai,P4,959183449,1,[2]
5,In Distribution Only,0.0,0.0,ETS,qwen,openai,P5,959183449,1,[2]
5,Combined Unweighted,12.036108324974924,61.80904522613066,ETS,qwen,openai,P5,959183449,1,[2]
5,Combined Weighted (quantile),5.1153460381143425,45.22613065326633,ETS,qwen,openai,P5,959183449,1,[2]
5,Combined Weighted (mean),5.1153460381143425,45.22613065326633,ETS,qwen,openai,P5,959183449,1,[2]
15,In Distribution Only,0.0,0.0,ETS,qwen,openai,P5,959183449,1,[2]
15,Combined Unweighted,12.036108324974924,62.8140703517588,ETS,qwen,openai,P5,959183449,1,[2]
15,Combined Weighted (quantile),12.036108324974924,62.8140703517588,ETS,qwen,openai,P5,959183449,1,[2]
15,Combined Weighted (mean),12.036108324974924,61.80904522613066,ETS,qwen,openai,P5,959183449,1,[2]
30,In Distribution Only,0.2006018054162487,5.025125628140704,ETS,qwen,openai,P5,959183449,1,[2]
30,Combined Unweighted,12.036108324974924,61.80904522613066,ETS,qwen,openai,P5,959183449,1,[2]
30,Combined Weighted (quantile),5.717151454363089,45.7286432160804,ETS,qwen,openai,P5,959183449,1,[2]
30,Combined Weighted (mean),1.9057171514543632,25.628140703517587,ETS,qwen,openai,P5,959183449,1,[2]
5,In Distribution Only,0.0,0.0,ETS,qwen,openai,P6,959183449,1,[2]
5,Combined Unweighted,10.365853658536585,56.63716814159292,ETS,qwen,openai,P6,959183449,1,[2]
5,Combined Weighted (quantile),10.365853658536585,56.63716814159292,ETS,qwen,openai,P6,959183449,1,[2]
5,Combined Weighted (mean),10.365853658536585,56.63716814159292,ETS,qwen,openai,P6,959183449,1,[2]
15,In Distribution Only,0.0,0.0,ETS,qwen,openai,P6,959183449,1,[2]
15,Combined Unweighted,10.365853658536585,56.63716814159292,ETS,qwen,openai,P6,959183449,1,[2]
15,Combined Weighted (quantile),8.130081300813007,51.32743362831859,ETS,qwen,openai,P6,959183449,1,[2]
15,Combined Weighted (mean),4.878048780487805,39.823008849557525,ETS,qwen,openai,P6,959183449,1,[2]
30,In Distribution Only,2.845528455284553,28.31858407079646,ETS,qwen,openai,P6,959183449,1,[2]
