n_train,False positive rate,Power,Outliers,total_samples,dataset,model,method,seed,base,alternatives
30,7.027027027027027,31.57894736842105,57,185,LOCNESS,phi,maryland,959183449,1,[2]
50,4.864864864864865,28.07017543859649,57,185,LOCNESS,phi,maryland,959183449,1,[2]
200,14.054054054054054,45.614035087719294,57,185,LOCNESS,phi,maryland,959183449,1,[2]
30,0.0,5.0,40,185,LOCNESS,phi,maryland,1457248422,1,[2]
50,0.5405405405405406,10.0,40,185,LOCNESS,phi,maryland,1457248422,1,[2]
200,7.027027027027027,30.0,40,185,LOCNESS,phi,maryland,1457248422,1,[2]
30,1.0810810810810811,10.638297872340425,47,185,LOCNESS,phi,maryland,642571064,1,[2]
50,2.7027027027027026,14.893617021276595,47,185,LOCNESS,phi,maryland,642571064,1,[2]
200,3.783783783783784,29.78723404255319,47,185,LOCNESS,phi,maryland,642571064,1,[2]
30,0.0,10.0,50,185,LOCNESS,phi,maryland,3609844797,1,[2]
50,2.1621621621621623,16.0,50,185,LOCNESS,phi,maryland,3609844797,1,[2]
200,3.2432432432432434,22.0,50,185,LOCNESS,phi,maryland,3609844797,1,[2]
30,1.0810810810810811,20.754716981132077,53,185,LOCNESS,phi,maryland,1067841243,1,[2]
50,1.0810810810810811,20.754716981132077,53,185,LOCNESS,phi,maryland,1067841243,1,[2]
200,4.864864864864865,30.18867924528302,53,185,LOCNESS,phi,maryland,1067841243,1,[2]
30,7.027027027027027,36.144578313253014,83,185,LOCNESS,phi,maryland,959183449,1,[3]
50,4.864864864864865,33.734939759036145,83,185,LOCNESS,phi,maryland,959183449,1,[3]
200,14.054054054054054,48.19277108433735,83,185,LOCNESS,phi,maryland,959183449,1,[3]
30,0.0,14.084507042253522,71,185,LOCNESS,phi,maryland,1457248422,1,[3]
50,0.5405405405405406,19.718309859154928,71,185,LOCNESS,phi,maryland,1457248422,1,[3]
200,7.027027027027027,43.66197183098591,71,185,LOCNESS,phi,maryland,1457248422,1,[3]
30,1.0810810810810811,24.096385542168676,83,185,LOCNESS,phi,maryland,642571064,1,[3]
50,2.7027027027027026,25.301204819277107,83,185,LOCNESS,phi,maryland,642571064,1,[3]
200,3.783783783783784,34.93975903614458,83,185,LOCNESS,phi,maryland,642571064,1,[3]
30,0.0,12.658227848101266,79,185,LOCNESS,phi,maryland,3609844797,1,[3]
50,2.1621621621621623,32.91139240506329,79,185,LOCNESS,phi,maryland,3609844797,1,[3]
200,3.2432432432432434,43.037974683544306,79,185,LOCNESS,phi,maryland,3609844797,1,[3]
30,1.0810810810810811,30.120481927710845,83,185,LOCNESS,phi,maryland,1067841243,1,[3]
50,1.0810810810810811,30.120481927710845,83,185,LOCNESS,phi,maryland,1067841243,1,[3]
200,4.864864864864865,40.963855421686745,83,185,LOCNESS,phi,maryland,1067841243,1,[3]
30,7.027027027027027,60.71428571428571,84,185,LOCNESS,phi,maryland,959183449,1,[4]
50,4.864864864864865,53.57142857142857,84,185,LOCNESS,phi,maryland,959183449,1,[4]
200,14.054054054054054,70.23809523809523,84,185,LOCNESS,phi,maryland,959183449,1,[4]
30,0.0,38.75,80,185,LOCNESS,phi,maryland,1457248422,1,[4]
50,0.5405405405405406,43.75,80,185,LOCNESS,phi,maryland,1457248422,1,[4]
200,7.027027027027027,68.75,80,185,LOCNESS,phi,maryland,1457248422,1,[4]
30,1.0810810810810811,32.25806451612903,93,185,LOCNESS,phi,maryland,642571064,1,[4]
50,2.7027027027027026,36.55913978494624,93,185,LOCNESS,phi,maryland,642571064,1,[4]
200,3.783783783783784,54.83870967741935,93,185,LOCNESS,phi,maryland,642571064,1,[4]
30,0.0,22.916666666666664,96,185,LOCNESS,phi,maryland,3609844797,1,[4]
50,2.1621621621621623,38.54166666666667,96,185,LOCNESS,phi,maryland,3609844797,1,[4]
200,3.2432432432432434,52.083333333333336,96,185,LOCNESS,phi,maryland,3609844797,1,[4]
30,1.0810810810810811,50.0,82,185,LOCNESS,phi,maryland,1067841243,1,[4]
