n_train,False positive rate,Power,Outliers,total_samples,dataset,model,method,seed,base,alternatives
30,1.6216216216216217,24.0,50,185,LOCNESS,phi,openai,959183449,1,[2]
50,1.6216216216216217,24.0,50,185,LOCNESS,phi,openai,959183449,1,[2]
200,3.783783783783784,32.0,50,185,LOCNESS,phi,openai,959183449,1,[2]
30,1.6216216216216217,22.727272727272727,44,185,LOCNESS,phi,openai,1457248422,1,[2]
50,12.432432432432433,52.27272727272727,44,185,LOCNESS,phi,openai,1457248422,1,[2]
200,7.027027027027027,47.72727272727273,44,185,LOCNESS,phi,openai,1457248422,1,[2]
30,3.2432432432432434,33.33333333333333,54,185,LOCNESS,phi,openai,642571064,1,[2]
50,3.2432432432432434,33.33333333333333,54,185,LOCNESS,phi,openai,642571064,1,[2]
200,3.2432432432432434,33.33333333333333,54,185,LOCNESS,phi,openai,642571064,1,[2]
30,3.2432432432432434,33.33333333333333,54,185,LOCNESS,phi,openai,3609844797,1,[2]
50,4.864864864864865,42.592592592592595,54,185,LOCNESS,phi,openai,3609844797,1,[2]
200,4.324324324324325,40.74074074074074,54,185,LOCNESS,phi,openai,3609844797,1,[2]
30,7.027027027027027,53.06122448979592,49,185,LOCNESS,phi,openai,1067841243,1,[2]
50,10.27027027027027,55.10204081632652,49,185,LOCNESS,phi,openai,1067841243,1,[2]
200,7.027027027027027,53.06122448979592,49,185,LOCNESS,phi,openai,1067841243,1,[2]
30,1.6216216216216217,33.84615384615385,65,185,LOCNESS,phi,openai,959183449,1,[3]
50,1.6216216216216217,33.84615384615385,65,185,LOCNESS,phi,openai,959183449,1,[3]
200,3.783783783783784,44.61538461538462,65,185,LOCNESS,phi,openai,959183449,1,[3]
30,1.6216216216216217,23.214285714285715,56,185,LOCNESS,phi,openai,1457248422,1,[3]
50,12.432432432432433,55.35714285714286,56,185,LOCNESS,phi,openai,1457248422,1,[3]
200,7.027027027027027,41.07142857142857,56,185,LOCNESS,phi,openai,1457248422,1,[3]
30,3.2432432432432434,49.18032786885246,61,185,LOCNESS,phi,openai,642571064,1,[3]
50,3.2432432432432434,49.18032786885246,61,185,LOCNESS,phi,openai,642571064,1,[3]
200,3.2432432432432434,49.18032786885246,61,185,LOCNESS,phi,openai,642571064,1,[3]
30,3.2432432432432434,40.909090909090914,66,185,LOCNESS,phi,openai,3609844797,1,[3]
50,4.864864864864865,42.42424242424242,66,185,LOCNESS,phi,openai,3609844797,1,[3]
200,4.324324324324325,42.42424242424242,66,185,LOCNESS,phi,openai,3609844797,1,[3]
30,7.027027027027027,50.877192982456144,57,185,LOCNESS,phi,openai,1067841243,1,[3]
50,10.27027027027027,59.64912280701754,57,185,LOCNESS,phi,openai,1067841243,1,[3]
200,7.027027027027027,50.877192982456144,57,185,LOCNESS,phi,openai,1067841243,1,[3]
30,1.6216216216216217,50.0,80,185,LOCNESS,phi,openai,959183449,1,[4]
50,1.6216216216216217,50.0,80,185,LOCNESS,phi,openai,959183449,1,[4]
200,3.783783783783784,61.25000000000001,80,185,LOCNESS,phi,openai,959183449,1,[4]
30,1.6216216216216217,40.57971014492754,69,185,LOCNESS,phi,openai,1457248422,1,[4]
50,12.432432432432433,69.56521739130434,69,185,LOCNESS,phi,openai,1457248422,1,[4]
200,7.027027027027027,62.31884057971014,69,185,LOCNESS,phi,openai,1457248422,1,[4]
