n_train,False positive rate,Power,Outliers,total_samples,dataset,model,method,seed,base,alternatives
30,0.5405405405405406,15.789473684210526,57,185,LOCNESS,qwen,maryland,959183449,1,[2]
50,2.1621621621621623,24.561403508771928,57,185,LOCNESS,qwen,maryland,959183449,1,[2]
200,5.405405405405405,29.82456140350877,57,185,LOCNESS,qwen,maryland,959183449,1,[2]
30,0.5405405405405406,25.581395348837212,43,185,LOCNESS,qwen,maryland,1457248422,1,[2]
50,2.7027027027027026,41.86046511627907,43,185,LOCNESS,qwen,maryland,1457248422,1,[2]
200,0.5405405405405406,30.23255813953488,43,185,LOCNESS,qwen,maryland,1457248422,1,[2]
30,5.9459459459459465,20.588235294117645,68,185,LOCNESS,qwen,maryland,642571064,1,[2]
50,2.7027027027027026,20.588235294117645,68,185,LOCNESS,qwen,maryland,642571064,1,[2]
200,2.7027027027027026,20.588235294117645,68,185,LOCNESS,qwen,maryland,642571064,1,[2]
30,11.351351351351353,40.816326530612244,49,185,LOCNESS,qwen,maryland,3609844797,1,[2]
50,2.7027027027027026,20.408163265306122,49,185,LOCNESS,qwen,maryland,3609844797,1,[2]
200,10.27027027027027,36.734693877551024,49,185,LOCNESS,qwen,maryland,3609844797,1,[2]
30,2.1621621621621623,22.22222222222222,72,185,LOCNESS,qwen,maryland,1067841243,1,[2]
50,2.1621621621621623,22.22222222222222,72,185,LOCNESS,qwen,maryland,1067841243,1,[2]
200,2.1621621621621623,22.22222222222222,72,185,LOCNESS,qwen,maryland,1067841243,1,[2]
30,0.5405405405405406,44.44444444444444,126,185,LOCNESS,qwen,maryland,959183449,1,[3]
50,2.1621621621621623,54.761904761904766,126,185,LOCNESS,qwen,maryland,959183449,1,[3]
200,5.405405405405405,59.523809523809526,126,185,LOCNESS,qwen,maryland,959183449,1,[3]
30,0.5405405405405406,49.166666666666664,120,185,LOCNESS,qwen,maryland,1457248422,1,[3]
50,2.7027027027027026,60.0,120,185,LOCNESS,qwen,maryland,1457248422,1,[3]
200,0.5405405405405406,50.83333333333333,120,185,LOCNESS,qwen,maryland,1457248422,1,[3]
30,5.9459459459459465,60.447761194029844,134,185,LOCNESS,qwen,maryland,642571064,1,[3]
50,2.7027027027027026,56.71641791044776,134,185,LOCNESS,qwen,maryland,642571064,1,[3]
200,2.7027027027027026,56.71641791044776,134,185,LOCNESS,qwen,maryland,642571064,1,[3]
30,11.351351351351353,71.07438016528926,121,185,LOCNESS,qwen,maryland,3609844797,1,[3]
50,2.7027027027027026,45.45454545454545,121,185,LOCNESS,qwen,maryland,3609844797,1,[3]
200,10.27027027027027,66.94214876033058,121,185,LOCNESS,qwen,maryland,3609844797,1,[3]
30,2.1621621621621623,50.806451612903224,124,185,LOCNESS,qwen,maryland,1067841243,1,[3]
50,2.1621621621621623,50.806451612903224,124,185,LOCNESS,qwen,maryland,1067841243,1,[3]
200,2.1621621621621623,50.806451612903224,124,185,LOCNESS,qwen,maryland,1067841243,1,[3]
30,0.5405405405405406,65.97222222222221,144,185,LOCNESS,qwen,maryland,959183449,1,[4]
50,2.1621621621621623,70.83333333333334,144,185,LOCNESS,qwen,maryland,959183449,1,[4]
200,5.405405405405405,75.0,144,185,LOCNESS,qwen,maryland,959183449,1,[4]
30,0.5405405405405406,69.11764705882352,136,185,LOCNESS,qwen,maryland,1457248422,1,[4]
50,2.7027027027027026,76.47058823529412,136,185,LOCNESS,qwen,maryland,1457248422,1,[4]
200,0.5405405405405406,71.32352941176471,136,185,LOCNESS,qwen,maryland,1457248422,1,[4]
30,5.9459459459459465,69.48051948051948,154,185,LOCNESS,qwen,maryland,642571064,1,[4]
50,2.7027027027027026,64.93506493506493,154,185,LOCNESS,qwen,maryland,642571064,1,[4]
200,2.7027027027027026,64.93506493506493,154,185,LOCNESS,qwen,maryland,642571064,1,[4]
30,11.351351351351353,80.71428571428572,140,185,LOCNESS,qwen,maryland,3609844797,1,[4]
50,2.7027027027027026,65.0,140,185,LOCNESS,qwen,maryland,3609844797,1,[4]
200,10.27027027027027,78.57142857142857,140,185,LOCNESS,qwen,maryland,3609844797,1,[4]
30,2.1621621621621623,64.70588235294117,153,185,LOCNESS,qwen,maryland,1067841243,1,[4]
50,2.1621621621621623,64.70588235294117,153,185,LOCNESS,qwen,maryland,1067841243,1,[4]
200,2.1621621621621623,64.70588235294117,153,185,LOCNESS,qwen,maryland,1067841243,1,[4]
30,0.5405405405405406,65.57377049180327,183,185,LOCNESS,qwen,maryland,959183449,1,[5]
50,2.1621621621621623,72.1311475409836,183,185,LOCNESS,qwen,maryland,959183449,1,[5]
200,5.405405405405405,77.04918032786885,183,185,LOCNESS,qwen,maryland,959183449,1,[5]
30,0.5405405405405406,67.0391061452514,179,185,LOCNESS,qwen,maryland,1457248422,1,[5]
50,2.7027027027027026,78.77094972067039,179,185,LOCNESS,qwen,maryland,1457248422,1,[5]
200,0.5405405405405406,71.50837988826815,179,185,LOCNESS,qwen,maryland,1457248422,1,[5]
30,5.9459459459459465,75.95628415300546,183,185,LOCNESS,qwen,maryland,642571064,1,[5]
50,2.7027027027027026,73.224043715847,183,185,LOCNESS,qwen,maryland,642571064,1,[5]
200,2.7027027027027026,73.224043715847,183,185,LOCNESS,qwen,maryland,642571064,1,[5]
30,11.351351351351353,89.3854748603352,179,185,LOCNESS,qwen,maryland,3609844797,1,[5]
50,2.7027027027027026,75.97765363128491,179,185,LOCNESS,qwen,maryland,3609844797,1,[5]
200,10.27027027027027,86.59217877094973,179,185,LOCNESS,qwen,maryland,3609844797,1,[5]
30,2.1621621621621623,75.82417582417582,182,185,LOCNESS,qwen,maryland,1067841243,1,[5]
