n_train,False positive rate,Power,Outliers,total_samples,dataset,model,method,seed,base,alternatives
30,8.108108108108109,62.06896551724138,58,185,LOCNESS,qwen,openai,959183449,1,[2]
50,8.108108108108109,62.06896551724138,58,185,LOCNESS,qwen,openai,959183449,1,[2]
200,6.486486486486487,62.06896551724138,58,185,LOCNESS,qwen,openai,959183449,1,[2]
30,3.2432432432432434,34.69387755102041,49,185,LOCNESS,qwen,openai,1457248422,1,[2]
50,4.864864864864865,40.816326530612244,49,185,LOCNESS,qwen,openai,1457248422,1,[2]
200,7.567567567567568,53.06122448979592,49,185,LOCNESS,qwen,openai,1457248422,1,[2]
30,2.7027027027027026,32.608695652173914,46,185,LOCNESS,qwen,openai,642571064,1,[2]
50,2.7027027027027026,39.130434782608695,46,185,LOCNESS,qwen,openai,642571064,1,[2]
200,5.9459459459459465,58.69565217391305,46,185,LOCNESS,qwen,openai,642571064,1,[2]
30,1.6216216216216217,26.785714285714285,56,185,LOCNESS,qwen,openai,3609844797,1,[2]
50,2.1621621621621623,26.785714285714285,56,185,LOCNESS,qwen,openai,3609844797,1,[2]
200,3.2432432432432434,41.07142857142857,56,185,LOCNESS,qwen,openai,3609844797,1,[2]
30,2.1621621621621623,34.0,50,185,LOCNESS,qwen,openai,1067841243,1,[2]
50,3.2432432432432434,48.0,50,185,LOCNESS,qwen,openai,1067841243,1,[2]
200,3.783783783783784,48.0,50,185,LOCNESS,qwen,openai,1067841243,1,[2]
30,8.108108108108109,81.10236220472441,127,185,LOCNESS,qwen,openai,959183449,1,[3]
50,8.108108108108109,81.10236220472441,127,185,LOCNESS,qwen,openai,959183449,1,[3]
200,6.486486486486487,79.52755905511812,127,185,LOCNESS,qwen,openai,959183449,1,[3]
30,3.2432432432432434,72.72727272727273,110,185,LOCNESS,qwen,openai,1457248422,1,[3]
50,4.864864864864865,73.63636363636363,110,185,LOCNESS,qwen,openai,1457248422,1,[3]
200,7.567567567567568,78.18181818181819,110,185,LOCNESS,qwen,openai,1457248422,1,[3]
30,2.7027027027027026,64.28571428571429,112,185,LOCNESS,qwen,openai,642571064,1,[3]
50,2.7027027027027026,67.85714285714286,112,185,LOCNESS,qwen,openai,642571064,1,[3]
200,5.9459459459459465,72.32142857142857,112,185,LOCNESS,qwen,openai,642571064,1,[3]
30,1.6216216216216217,66.95652173913044,115,185,LOCNESS,qwen,openai,3609844797,1,[3]
50,2.1621621621621623,66.95652173913044,115,185,LOCNESS,qwen,openai,3609844797,1,[3]
200,3.2432432432432434,67.82608695652173,115,185,LOCNESS,qwen,openai,3609844797,1,[3]
30,2.1621621621621623,63.1578947368421,114,185,LOCNESS,qwen,openai,1067841243,1,[3]
50,3.2432432432432434,69.2982456140351,114,185,LOCNESS,qwen,openai,1067841243,1,[3]
200,3.783783783783784,71.05263157894737,114,185,LOCNESS,qwen,openai,1067841243,1,[3]
30,8.108108108108109,89.28571428571429,140,185,LOCNESS,qwen,openai,959183449,1,[4]
50,8.108108108108109,89.28571428571429,140,185,LOCNESS,qwen,openai,959183449,1,[4]
200,6.486486486486487,87.85714285714286,140,185,LOCNESS,qwen,openai,959183449,1,[4]
30,3.2432432432432434,77.61194029850746,134,185,LOCNESS,qwen,openai,1457248422,1,[4]
50,4.864864864864865,82.83582089552239,134,185,LOCNESS,qwen,openai,1457248422,1,[4]
200,7.567567567567568,85.82089552238806,134,185,LOCNESS,qwen,openai,1457248422,1,[4]
30,2.7027027027027026,71.23287671232876,146,185,LOCNESS,qwen,openai,642571064,1,[4]
50,2.7027027027027026,74.65753424657534,146,185,LOCNESS,qwen,openai,642571064,1,[4]
200,5.9459459459459465,84.24657534246576,146,185,LOCNESS,qwen,openai,642571064,1,[4]
30,1.6216216216216217,74.82014388489209,139,185,LOCNESS,qwen,openai,3609844797,1,[4]
50,2.1621621621621623,74.82014388489209,139,185,LOCNESS,qwen,openai,3609844797,1,[4]
200,3.2432432432432434,81.29496402877699,139,185,LOCNESS,qwen,openai,3609844797,1,[4]
30,2.1621621621621623,73.75886524822694,141,185,LOCNESS,qwen,openai,1067841243,1,[4]
50,3.2432432432432434,83.68794326241135,141,185,LOCNESS,qwen,openai,1067841243,1,[4]
200,3.783783783783784,83.68794326241135,141,185,LOCNESS,qwen,openai,1067841243,1,[4]
30,8.108108108108109,94.44444444444444,180,185,LOCNESS,qwen,openai,959183449,1,[5]
50,8.108108108108109,94.44444444444444,180,185,LOCNESS,qwen,openai,959183449,1,[5]
200,6.486486486486487,92.77777777777779,180,185,LOCNESS,qwen,openai,959183449,1,[5]
30,3.2432432432432434,84.5303867403315,181,185,LOCNESS,qwen,openai,1457248422,1,[5]
50,4.864864864864865,87.29281767955801,181,185,LOCNESS,qwen,openai,1457248422,1,[5]
200,7.567567567567568,90.05524861878453,181,185,LOCNESS,qwen,openai,1457248422,1,[5]
30,2.7027027027027026,82.96703296703298,182,185,LOCNESS,qwen,openai,642571064,1,[5]
50,2.7027027027027026,85.71428571428571,182,185,LOCNESS,qwen,openai,642571064,1,[5]
200,5.9459459459459465,92.3076923076923,182,185,LOCNESS,qwen,openai,642571064,1,[5]
30,1.6216216216216217,85.55555555555556,180,185,LOCNESS,qwen,openai,3609844797,1,[5]
50,2.1621621621621623,86.11111111111111,180,185,LOCNESS,qwen,openai,3609844797,1,[5]
200,3.2432432432432434,91.11111111111111,180,185,LOCNESS,qwen,openai,3609844797,1,[5]
